Tank	Coral ID	Fv/Fm			Time start	1:21
6A-C	21-29B	515			Time end	1:41
6A-C	21-37A	475			meas-int	12
6A-C	23-02B	568			out-gain	4
6A-C	23-22A	556			damp	2
6A-C	25-19A	495			sat-int	8
6A-C	25-30B	491			sat-width	0.8
6A-C	26-27B	488			etr-fac	0.84
6A-C	26-20B	506			zero-offs	65
6A-C	28-12A	581			dep-gain	1
6A-C	28-08B	540			dep-offs	0
6A-C	29-26B	581			light-gain	1
6A-C	29-22B	540			light-offs	0
6A-HL	21-40B	489				
6A-HL	21-35A	474				
6A-HL	23-05B	479				
6A-HL	23-03A	427				
6A-HL	25-13B	464				
6A-HL	25-04A	447				
6A-HL	26-24A	471				
6A-HL	26-08A	468				
6A-HL	28-01B	476				
6A-HL	28-24B	501				
6A-HL	29-01B	582				
6A-HL	29-17A	541				
6A-HT	21-06B	568				
6A-HT	21-02A	592				
6A-HT	23-19A	666				
6A-HT	23-09B	596				
6A-HT	25-16A	517				
6A-HT	25-03B	558				
6A-HT	26-19A	595				
6A-HT	26-12A	581				
6A-HT	28-41B	740				
6A-HT	28-47A	608				
6A-HT	29-17B	663				
6A-HT	29-14A	688				
6B-C	21-04B	566				
6B-C	21-06A	518				
6B-C	23-20B	530				
6B-C	23-20A	589				
6B-C	25-17B	524				
6B-C	25-13A	513				
6B-C	26-23A	519				
6B-C	26-01B	526				
6B-C	28-50B	566				
6B-C	28-03A	606				
6B-C	29-23B	594				
6B-C	29-22A	610				
6B-HL	21-03B	551				
6B-HL	21-23A	593				
6B-HL	23-04B	579				
6B-HL	23-10A	570				
6B-HL	25-01A	507				
6B-HL	25-15A	565				
6B-HL	26-29A	588				
6B-HL	26-20A	558				
6B-HL	28-29A	564				
6B-HL	28-08A	594				
6B-HL	29-26A	615				
6B-HL	29-08B	611				
6B-HT	21-01A	586				
6B-HT	21-01B	556				
6B-HT	23-01B	647				
6B-HT	23-29B	630				
6B-HT	25-02A	504				
6B-HT	25-16B	550				
6B-HT	26-29B	604				
6B-HT	26-28B	574				
6B-HT	28-47B	691				
6B-HT	28-41A	633				
6B-HT	29-02B	681				
6B-HT	29-10A	672				
7A-C	21-27B	535				
7A-C	21-21B	538				
7A-C	23-09A	601				
7A-C	23-01A	577				
7A-C	25-12B	557				
7A-C	25-03A	539				
7A-C	26-19B	607				
7A-C	26-21B	599				
7A-C	28-01A	621				
7A-C	28-33A	630				
7A-C	29-14B	578				
7A-C	29-23A	537				
7A-HL	21-02B	540				
7A-HL	21-09B	520				
7A-HL	23-04A	562				
7A-HL	23-02A	421				
7A-HL	25-17A	510				
7A-HL	25-01B	514				
7A-HL	26-23B	529				
7A-HL	26-13A	527				
7A-HL	28-29B	578				
7A-HL	28-03B	568				
7A-HL	29-08A	605				
7A-HL	29-16B	633				
7A-HT	21-03A	580				
7A-HT	21-39A	550				
7A-HT	23-13B	575				
7A-HT	23-13A	615				
7A-HT	25-02B	521				
7A-HT	25-12A	498				
7A-HT	26-08B	569				
7A-HT	26-28A	598				
7A-HT	28-04A	633				
7A-HT	28-14B	625				
7A-HT	29-20B	658				
7A-HT	29-12A	626				
6B-HL	28-33B	573				
6B-HL	25-10B	542				
6B-HL	29-02A	594				
6B-HT	28-04B	535				
6B-HT	25-18A	509				
6B-HT	29-28B	650				
6A-HL	28-50A	526				
6A-HL	26-01A	494				
6A-HL	21-23B	496				
6A-HT	28-14A	622				
6A-HT	26-13B	602				
6A-HT	21-05A	579				
7A-HL	25-1A	549				
7A-HL	21-35B	520				
7A-HL	29-20A	648				
7A-HT	25-30A	504				
7A-HT	21-04A	603				
7A-HT	29-01A	676				
