Tank	Coral ID	FV/FM			Time start
7BH	21-01A	522			Time end
7AC	21-01B	504			meas-int
6AH	21-02A	538			out-gain
7AH	21-02B	530			damp
7AH	21-03A	539			sat-int
6AH	21-03B	503			sat-width
7BC	21-04A	520			etr-fac
6AC	21-04B	519			zero-offs
6AC	21-05A	524			dep-gain
7BC	21-06A	493			dep-offs
7AH	21-06B	518			light-gain
7BC	21-09B	488			light-offs
6AH	21-21B	479			
6AC	21-23A	540			
7BH	21-23B	542			
7AC	21-27B	520			
7BH	21-29B	554			
7AC	21-35A	503			
6AC	21-35B	476			
7AH	21-37A	492			
7AC	21-39A	530			
6AH	21-40B	497			
7AH	23-01A	500			
7BC	23-01B	597			
7AC	23-02A	567			
7AC	23-02B	567			
7BH	23-03A	285			
7BC	23-04A	590			
6AC	23-04B	586			
7AH	23-05B	516			
6AC	23-09A	609			
6AH	23-09B	361			
6AH	23-10A	448			
7BH	23-13A	548			
6AC	23-13B	581			
7AC	23-19A	610			
6AH	23-20A	599			
7BH	23-20B	327			
7BC	23-22A	625			
7AH	23-29B	564			
7BC	25-01A	466			
7AH	25-01B	388			
6AC	25-02A	514			
6AH	25-02B	450			
7AH	25-03A	455			
7AC	25-03B	490			
7AC	25-04A	523			
7BH	25-10B	436			
7BH	25-12A	494			
7AC	25-12B	543			
7BH	25-13A	360			
6AC	25-13B	502			
6AH	25-15A	432			
7AH	25-16A	496			
6AC	25-16B	503			
7BC	25-17A	512			
7BC	25-17B	513			
7BC	25-18A	495			
6AC	25-19A	494			
7BH	25-1A	443			
6AH	25-30A	419			
6AH	25-30B	358			
7AC	26-01A	515			
7BC	26-01B	475			
7AH	26-08A	480			
6AC	26-08B	523			
7BH	26-12A	527			
6AC	26-13A	547			
7BC	26-13B	520			
7AH	26-19A	539			
6AH	26-19B	493			
6AH	26-20A	452			
6AC	26-20B	564			
7AC	26-21B	532			
7BH	26-23A	498			
7BH	26-23B	527			
7AC	26-24A	486			
7AH	26-27B	495			
7AC	26-28A	534			
6AH	26-28B	514			
7AH	26-29A	536			
7BH	26-29B	561			
6AC	28-01A	579			
6AH	28-01B	475			
6AH	28-03A	561			
7BC	28-03B	613			
7AC	28-04A	583			
6AH	28-04B	520			
7AC	28-08A	571			
7AC	28-08B	605			
7BH	28-12A	335			
7BH	28-14A	490			
6AC	28-14B	585			
7BH	28-24B	446			
7AH	28-29A	539			
6AH	28-29B	538			
7BC	28-33A	598			
6AC	28-33B	568			
7BC	28-41A	572			
7AH	28-41B	501			
7BH	28-47A	479			
6AC	28-47B	541			
7BH	28-50A	518			
7AH	28-50B	475			
6AH	29-01A	536			
7BC	29-01B	571			
7AH	29-02A	519			
7AC	29-02B	611			
7AC	29-08A	603			
6AH	29-08B	517			
7AH	29-10A	539			
7BH	29-12A	496			
7BC	29-14A	595			
6AC	29-14B	613			
6AC	29-16B	637			
7BH	29-17A	511			
7BC	29-17B	582			
7AH	29-20A	579			
6AC	29-20B	606			
7BC	29-22A	610			
6AH	29-22B	491			
7AC	29-23A	573			
7AH	29-23B	512			
7BC	29-26A	605			
7BH	29-26B	518			
7AC	29-28B	617			
