Tank	Coral ID	FV/FM			Time start	11:30
7BH	21-01A	508			Time end	12:45
7AC	21-01B	534			meas-int	12
6AH	21-02A	500			out-gain	4
7AH	21-02B	521			damp	2
7AH	21-03A	498			sat-int	8
6AH	21-03B	500			sat-width	0.8
7BC	21-04A	520			etr-fac	0.84
6AC	21-04B	526			zero-offs	60
6AC	21-05A	536			dep-gain	1
7BC	21-06A	498			dep-offs	0
7AH	21-06B	508			light-gain	1
7BC	21-09B	502			light-offs	0
6AH	21-21B	457				
6AC	21-23A	523				
7BH	21-23B	525				
7AC	21-27B	556				
7BH	21-29B	516				
7AC	21-35A	530				
6AC	21-35B	512				
7AH	21-37A	487				
7AC	21-39A	523				
6AH	21-40B	491				
7AH	23-01A	463				
7BC	23-01B	621				
7AC	23-02A	572				
7AC	23-02B	557				
7BH	23-03A	274				
7BC	23-04A	592				
6AC	23-04B	583				
7AH	23-05B	450				
6AC	23-09A	610				
6AH	23-09B	432				
6AH	23-10A	465				
7BH	23-13A	404				
6AC	23-13B	601				
7AC	23-19A	609				
6AH	23-20A	475				
7BH	23-20B	402				
7BC	23-22A	603				
7AH	23-29B	479				
7BC	25-01A	485				
7AH	25-01B	392				
6AC	25-02A	521				
6AH	25-02B	444				
7AH	25-03A	476				
7AC	25-03B	493				
7AC	25-04A	493				
7BH	25-10B	431				
7BH	25-12A	474				
7AC	25-12B	523				
7BH	25-13A	342				
6AC	25-13B	492				
6AH	25-15A	394				
7AH	25-16A	494				
6AC	25-16B	509				
7BC	25-17A	521				
7BC	25-17B	475				
7BC	25-18A	514				
6AC	25-19A	494				
7BH	25-1A	418				
6AH	25-30A	440				
6AH	25-30B	350				
7AC	26-01A	521				
7BC	26-01B	510				
7AH	26-08A	489				
6AC	26-08B	504				
7BH	26-12A	518				
6AC	26-13A	545				
7BC	26-13B	509				
7AH	26-19A	541				
6AH	26-19B	530				
6AH	26-20A	459				
6AC	26-20B	565				
7AC	26-21B	554				
7BH	26-23A	478				
7BH	26-23B	498				
7AC	26-24A	500				
7AH	26-27B	492				
7AC	26-28A	544				
6AH	26-28B	516				
7AH	26-29A	540				
7BH	26-29B	543				
6AC	28-01A	556				
6AH	28-01B	398				
6AH	28-03A	432				
7BC	28-03B	600				
7AC	28-04A	577				
6AH	28-04B	296				
7AC	28-08A	584				
7AC	28-08B	602				
7BH	28-12A	294				
7BH	28-14A	366				
6AC	28-14B	590				
7BH	28-24B	335				
7AH	28-29A	481				
6AH	28-29B	523				
7BC	28-33A	566				
6AC	28-33B	567				
7BC	28-41A	560				
7AH	28-41B	500				
7BH	28-47A	448				
6AC	28-47B	567				
7BH	28-50A	437				
7AH	28-50B	409				
6AH	29-01A	298				
7BC	29-01B	595				
7AH	29-02A	433				
7AC	29-02B	617				
7AC	29-08A	618				
6AH	29-08B	484				
7AH	29-10A	512				
7BH	29-12A	427				
7BC	29-14A	584				
6AC	29-14B	659				
6AC	29-16B	638				
7BH	29-17A	425				
7BC	29-17B	609				
7AH	29-20A	537				
6AC	29-20B	617				
7BC	29-22A	607				
6AH	29-22B	438				
7AC	29-23A	591				
7AH	29-23B	479				
7BC	29-26A	609				
7BH	29-26B	467				
7AC	29-28B	606				
