* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 03-02-2017
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 03-02-2017
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = No
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = TAQMAN
* Date Created = 2018-09-28 13:19:46 PM PDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Users\INSTR-ADMIN\experiments\Nash\20180725_NS_moteLH08.eds
* Experiment Name = 20180725_NS_moteLH08
* Experiment Run End Time = 2018-07-25 10:13:03 AM PDT
* Experiment Type = Standard Curve
* Instrument Name =       172310454
* Instrument Serial Number = 172310454
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	HIGHSD	NOAMP
2	A2	false	26-23A-T2	Ssid	UNKNOWN	SYBR	None	21.057	20.853	0.289								false	0.010	true	3	20	Amp		0.468	Y	N	N	N
3	A3	false	26-23A-T2	Ssid	UNKNOWN	SYBR	None	20.649	20.853	0.289								false	0.010	true	3	19	Amp		0.364	Y	N	N	N
4	A4	false	26-23A-T2	C	UNKNOWN	ABY	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
4	A4	false	26-23A-T2	D	UNKNOWN	FAM	NFQ-MGB	26.649	26.572	0.108								false	0.010	true	3	25	Amp		0.474	Y	N	N	N
5	A5	false	26-23A-T2	C	UNKNOWN	ABY	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
5	A5	false	26-23A-T2	D	UNKNOWN	FAM	NFQ-MGB	26.496	26.572	0.108								false	0.010	true	3	24	Amp		0.472	Y	N	N	N
6	A6	false	25-02B-T2	Ssid	UNKNOWN	SYBR	None	24.692	25.053	0.511								false	0.010	true	3	24	Amp		0.527	Y	N	Y	N
7	A7	false	25-02B-T2	Ssid	UNKNOWN	SYBR	None	25.414	25.053	0.511								false	0.010	true	3	24	Amp		0.618	Y	N	Y	N
8	A8	false	25-02B-T2	C	UNKNOWN	ABY	NFQ-MGB	35.801	36.071	0.382								false	0.010	true	3	34	Amp		0.790	Y	N	N	N
8	A8	false	25-02B-T2	D	UNKNOWN	FAM	NFQ-MGB	27.997	28.305	0.436								false	0.010	true	3	27	Amp		0.593	Y	N	N	N
9	A9	false	25-02B-T2	C	UNKNOWN	ABY	NFQ-MGB	36.341	36.071	0.382								false	0.010	true	3	35	Amp		0.735	Y	N	N	N
9	A9	false	25-02B-T2	D	UNKNOWN	FAM	NFQ-MGB	28.614	28.305	0.436								false	0.010	true	3	27	Amp		0.641	Y	N	N	N
10	A10	false	NTC	Ssid	UNKNOWN	SYBR	None	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
11	A11	false	NTC	Ssid	UNKNOWN	SYBR	None	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
13	B1	false	26-28B-T2	Ssid	UNKNOWN	SYBR	None	26.802	26.798	0.006								false	0.010	true	3	26	Amp		0.755	Y	N	N	N
14	B2	false	26-28B-T2	Ssid	UNKNOWN	SYBR	None	26.793	26.798	0.006								false	0.010	true	3	26	Amp		0.732	Y	N	N	N
15	B3	false	26-28B-T2	C	UNKNOWN	ABY	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
15	B3	false	26-28B-T2	D	UNKNOWN	FAM	NFQ-MGB	26.672	27.039	0.518								false	0.010	true	3	25	Amp		0.523	Y	N	Y	N
16	B4	false	26-28B-T2	C	UNKNOWN	ABY	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
16	B4	false	26-28B-T2	D	UNKNOWN	FAM	NFQ-MGB	27.405	27.039	0.518								false	0.010	true	3	26	Amp		0.531	Y	N	Y	N
17	B5	false	26-08B-T2	Ssid	UNKNOWN	SYBR	None	20.250	19.891	0.508								false	0.010	true	3	19	Amp		0.595	Y	N	Y	N
18	B6	false	26-08B-T2	Ssid	UNKNOWN	SYBR	None	19.532	19.891	0.508								false	0.010	true	3	18	Amp		0.415	Y	N	Y	N
19	B7	false	26-08B-T2	C	UNKNOWN	ABY	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
19	B7	false	26-08B-T2	D	UNKNOWN	FAM	NFQ-MGB	26.629	26.740	0.156								false	0.010	true	3	25	Amp		0.532	Y	N	N	N
20	B8	false	26-08B-T2	C	UNKNOWN	ABY	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
20	B8	false	26-08B-T2	D	UNKNOWN	FAM	NFQ-MGB	26.850	26.740	0.156								false	0.010	true	3	26	Amp		0.525	Y	N	N	N
21	B9	false	25-01B-T2	Ssid	UNKNOWN	SYBR	None	19.516	19.764	0.352								false	0.010	true	3	18	Amp		0.431	Y	N	N	N
22	B10	false	25-01B-T2	Ssid	UNKNOWN	SYBR	None	20.013	19.764	0.352								false	0.010	true	3	19	Amp		0.535	Y	N	N	N
23	B11	false	25-01B-T2	C	UNKNOWN	ABY	NFQ-MGB	30.215	30.585	0.524								false	0.010	true	3	29	Amp		0.861	N	N	Y	N
23	B11	false	25-01B-T2	D	UNKNOWN	FAM	NFQ-MGB	28.718	29.053	0.474								false	0.010	true	3	27	Amp		0.503	Y	N	N	N
24	B12	false	25-01B-T2	C	UNKNOWN	ABY	NFQ-MGB	30.956	30.585	0.524								false	0.010	true	3	30	Amp		0.868	N	N	Y	N
24	B12	false	25-01B-T2	D	UNKNOWN	FAM	NFQ-MGB	29.388	29.053	0.474								false	0.010	true	3	27	Amp		0.688	Y	N	N	N
25	C1	false	26-29B-T2	Ssid	UNKNOWN	SYBR	None	19.047	18.811	0.333								false	0.010	true	3	18	Amp		0.351	Y	N	N	N
26	C2	false	26-29B-T2	Ssid	UNKNOWN	SYBR	None	18.575	18.811	0.333								false	0.010	true	3	17	Amp		0.324	Y	N	N	N
27	C3	false	26-29B-T2	C	UNKNOWN	ABY	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
27	C3	false	26-29B-T2	D	UNKNOWN	FAM	NFQ-MGB	24.650	25.121	0.666								false	0.010	true	3	23	Amp		0.413	Y	N	Y	N
28	C4	false	26-29B-T2	C	UNKNOWN	ABY	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
28	C4	false	26-29B-T2	D	UNKNOWN	FAM	NFQ-MGB	25.593	25.121	0.666								false	0.010	true	3	24	Amp		0.487	Y	N	Y	N
29	C5	false	26-28A-T2	Ssid	UNKNOWN	SYBR	None	39.047	39.047									false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
30	C6	false	26-28A-T2	Ssid	UNKNOWN	SYBR	None	Undetermined	39.047									false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
31	C7	false	26-28A-T2	C	UNKNOWN	ABY	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
31	C7	false	26-28A-T2	D	UNKNOWN	FAM	NFQ-MGB	39.892	39.945	0.075								false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N
32	C8	false	26-28A-T2	C	UNKNOWN	ABY	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
32	C8	false	26-28A-T2	D	UNKNOWN	FAM	NFQ-MGB	39.998	39.945	0.075								false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N
33	C9	false	26-23B-T2	Ssid	UNKNOWN	SYBR	None	20.368	20.476	0.152								false	0.010	true	3	19	Amp		0.488	Y	N	N	N
34	C10	false	26-23B-T2	Ssid	UNKNOWN	SYBR	None	20.583	20.476	0.152								false	0.010	true	3	20	Amp		0.541	Y	N	N	N
35	C11	false	26-23B-T2	C	UNKNOWN	ABY	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
35	C11	false	26-23B-T2	D	UNKNOWN	FAM	NFQ-MGB	25.915	25.706	0.296								false	0.010	true	3	24	Amp		0.452	Y	N	N	N
36	C12	false	26-23B-T2	C	UNKNOWN	ABY	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
36	C12	false	26-23B-T2	D	UNKNOWN	FAM	NFQ-MGB	25.497	25.706	0.296								false	0.010	true	3	24	Amp		0.348	Y	N	N	N
37	D1	false	25-16B-T2	Ssid	UNKNOWN	SYBR	None	26.893	28.039	1.621								false	0.010	true	3	26	Amp		0.551	Y	N	Y	N
38	D2	false	25-16B-T2	Ssid	UNKNOWN	SYBR	None	29.185	28.039	1.621								false	0.010	true	3	30	Inconclusive		0.721	Y	N	Y	N
39	D3	false	25-16B-T2	C	UNKNOWN	ABY	NFQ-MGB	34.384	34.295	0.126								false	0.010	true	3	33	Amp		0.830	N	N	N	N
39	D3	false	25-16B-T2	D	UNKNOWN	FAM	NFQ-MGB	27.597	27.681	0.119								false	0.010	true	3	26	Amp		0.561	Y	N	N	N
40	D4	false	25-16B-T2	C	UNKNOWN	ABY	NFQ-MGB	34.206	34.295	0.126								false	0.010	true	3	33	Amp		0.824	N	N	N	N
40	D4	false	25-16B-T2	D	UNKNOWN	FAM	NFQ-MGB	27.766	27.681	0.119								false	0.010	true	3	26	Amp		0.579	Y	N	N	N
41	D5	false	25-12A-T2	Ssid	UNKNOWN	SYBR	None	19.929	20.165	0.334								false	0.010	true	3	19	Amp		0.524	Y	N	N	N
42	D6	false	25-12A-T2	Ssid	UNKNOWN	SYBR	None	20.401	20.165	0.334								false	0.010	true	3	19	Amp		0.634	Y	N	N	N
43	D7	false	25-12A-T2	C	UNKNOWN	ABY	NFQ-MGB	37.335	37.980	0.912								false	0.010	true	3	35	Inconclusive		0.803	N	N	Y	N
43	D7	false	25-12A-T2	D	UNKNOWN	FAM	NFQ-MGB	26.249	26.397	0.210								false	0.010	true	3	25	Amp		0.438	Y	N	N	N
44	D8	false	25-12A-T2	C	UNKNOWN	ABY	NFQ-MGB	38.624	37.980	0.912								false	0.010	true	3	35	Inconclusive		0.210	Y	N	Y	Y
