* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 03-02-2017
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 03-02-2017
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = No
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = TAQMAN
* Date Created = 2018-09-28 13:21:37 PM PDT
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = D:\Users\INSTR-ADMIN\experiments\Nash\20180926_NS_motelh13.eds
* Experiment Name = 20180926_NS_motelh13
* Experiment Run End Time = 2018-09-26 11:22:43 AM PDT
* Experiment Type = Standard Curve
* Instrument Name =       172310454
* Instrument Serial Number = 172310454
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	HIGHSD	EXPFAIL	NOAMP
2	A2	false	26-08B-T3	Ssid	UNKNOWN	SYBR	None	21.976	21.827	0.211								false	0.010	true	3	21	Amp		0.440	Y	N	N	N
3	A3	false	26-08B-T3	Ssid	UNKNOWN	SYBR	None	21.678	21.827	0.211								false	0.010	true	3	21	Amp		0.416	Y	N	N	N
4	A4	false	26-08B-T3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	N	Y	Y
4	A4	false	26-08B-T3	D	UNKNOWN	FAM	NFQ-MGB	23.516	23.872	0.503								false	0.010	true	3	22	Amp		0.312	Y	Y	N	N
5	A5	false	26-08B-T3	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	N	Y	Y
5	A5	false	26-08B-T3	D	UNKNOWN	FAM	NFQ-MGB	24.228	23.872	0.503								false	0.010	true	3	23	Amp		0.413	Y	Y	N	N
6	A6	false	25-12B-T3	Ssid	UNKNOWN	SYBR	None	24.170	23.490	0.962								false	0.010	true	3	23	Amp		0.565	Y	Y	N	N
7	A7	false	25-12B-T3	Ssid	UNKNOWN	SYBR	None	22.809	23.490	0.962								false	0.010	true	3	22	Amp		0.404	Y	Y	N	N
8	A8	false	25-12B-T3	C	UNKNOWN	VIC	NFQ-MGB	26.902	26.726	0.249								false	0.010	true	3	26	Amp		0.927	N	N	N	N
8	A8	false	25-12B-T3	D	UNKNOWN	FAM	NFQ-MGB	26.748	26.684	0.091								false	0.010	true	3	26	Amp		0.499	Y	N	N	N
9	A9	false	25-12B-T3	C	UNKNOWN	VIC	NFQ-MGB	26.550	26.726	0.249								false	0.010	true	3	25	Amp		0.910	N	N	N	N
9	A9	false	25-12B-T3	D	UNKNOWN	FAM	NFQ-MGB	26.620	26.684	0.091								false	0.010	true	3	26	Amp		0.436	Y	N	N	N
10	A10	false	NTC	Ssid	UNKNOWN	SYBR	None	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	N	Y	Y
