"Plot Title: 6B_C"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10163242, SEN S/N: 10163242)","Stopped (LGR S/N: 10163242)","End Of File (LGR S/N: 10163242)"
1,01/22/18 02:07:08 PM,28.357,,
2,01/22/18 02:37:08 PM,24.351,,
3,01/22/18 03:07:08 PM,23.004,,
4,01/22/18 03:37:08 PM,25.708,,
5,01/22/18 04:07:08 PM,26.292,,
6,01/22/18 04:37:08 PM,26.781,,
7,01/22/18 05:07:08 PM,26.488,,
8,01/22/18 05:37:08 PM,25.708,,
9,01/22/18 06:07:08 PM,25.902,,
10,01/22/18 06:37:08 PM,26.000,,
11,01/22/18 07:07:08 PM,25.513,,
12,01/22/18 07:37:08 PM,25.902,,
13,01/22/18 08:07:08 PM,26.000,,
14,01/22/18 08:37:08 PM,25.513,,
15,01/22/18 09:07:08 PM,25.805,,
16,01/22/18 09:37:08 PM,26.097,,
17,01/22/18 10:07:08 PM,25.513,,
18,01/22/18 10:37:08 PM,25.708,,
19,01/22/18 11:07:08 PM,26.195,,
20,01/22/18 11:37:08 PM,25.610,,
21,01/23/18 12:07:08 AM,25.708,,
22,01/23/18 12:37:08 AM,26.097,,
23,01/23/18 01:07:08 AM,25.708,,
24,01/23/18 01:37:08 AM,25.513,,
25,01/23/18 02:07:08 AM,26.000,,
26,01/23/18 02:37:08 AM,25.513,,
27,01/23/18 03:07:08 AM,25.513,,
28,01/23/18 03:37:08 AM,26.097,,
29,01/23/18 04:07:08 AM,25.610,,
30,01/23/18 04:37:08 AM,25.513,,
31,01/23/18 05:07:08 AM,26.097,,
32,01/23/18 05:37:08 AM,25.513,,
33,01/23/18 06:07:08 AM,25.610,,
34,01/23/18 06:37:08 AM,26.195,,
35,01/23/18 07:07:08 AM,25.513,,
36,01/23/18 07:37:08 AM,25.610,,
37,01/23/18 08:07:08 AM,26.097,,
38,01/23/18 08:37:08 AM,25.708,,
39,01/23/18 09:07:08 AM,26.000,,
40,01/23/18 09:37:08 AM,26.390,,
41,01/23/18 10:07:08 AM,26.097,,
42,01/23/18 10:37:08 AM,26.097,,
43,01/23/18 11:07:08 AM,26.097,,
44,01/23/18 11:37:08 AM,26.195,,
45,01/23/18 12:07:08 PM,26.097,,
46,01/23/18 12:37:08 PM,25.902,,
47,01/23/18 01:07:08 PM,26.097,,
48,01/23/18 01:37:08 PM,26.097,,
49,01/23/18 02:07:08 PM,25.805,,
50,01/23/18 02:37:08 PM,25.805,,
51,01/23/18 03:07:08 PM,25.708,,
52,01/23/18 03:37:08 PM,25.805,,
53,01/23/18 04:07:08 PM,25.708,,
54,01/23/18 04:37:08 PM,25.902,,
55,01/23/18 05:07:08 PM,25.805,,
56,01/23/18 05:37:08 PM,25.805,,
57,01/23/18 06:07:08 PM,25.610,,
58,01/23/18 06:37:08 PM,25.513,,
59,01/23/18 07:07:08 PM,25.416,,
60,01/23/18 07:37:08 PM,25.319,,
61,01/23/18 08:07:08 PM,25.513,,
62,01/23/18 08:37:08 PM,25.805,,
63,01/23/18 09:07:08 PM,25.610,,
64,01/23/18 09:37:08 PM,25.416,,
65,01/23/18 10:07:08 PM,25.319,,
66,01/23/18 10:37:08 PM,25.708,,
67,01/23/18 11:07:08 PM,25.708,,
68,01/23/18 11:37:08 PM,25.513,,
69,01/24/18 12:07:08 AM,25.416,,
70,01/24/18 12:37:08 AM,25.319,,
71,01/24/18 01:07:08 AM,25.708,,
72,01/24/18 01:37:08 AM,25.610,,
73,01/24/18 02:07:08 AM,25.513,,
74,01/24/18 02:37:08 AM,25.416,,
75,01/24/18 03:07:08 AM,25.416,,
76,01/24/18 03:37:08 AM,25.805,,
77,01/24/18 04:07:08 AM,25.610,,
78,01/24/18 04:37:08 AM,25.513,,
79,01/24/18 05:07:08 AM,25.416,,
80,01/24/18 05:37:08 AM,25.319,,
81,01/24/18 06:07:08 AM,25.610,,
82,01/24/18 06:37:08 AM,25.805,,
83,01/24/18 07:07:08 AM,25.513,,
84,01/24/18 07:37:08 AM,25.416,,
85,01/24/18 08:07:08 AM,25.416,,
86,01/24/18 08:37:08 AM,25.513,,
87,01/24/18 09:07:08 AM,25.610,,
88,01/24/18 09:37:08 AM,25.805,,
89,01/24/18 10:07:08 AM,26.292,,
90,01/24/18 10:37:08 AM,26.097,,
91,01/24/18 11:07:08 AM,25.902,,
92,01/24/18 11:37:08 AM,25.805,,
93,01/24/18 12:07:08 PM,25.805,,
94,01/24/18 12:37:08 PM,25.805,,
95,01/24/18 01:07:08 PM,25.708,,
96,01/24/18 01:37:08 PM,25.610,,
97,01/24/18 02:07:08 PM,25.708,,
98,01/24/18 02:37:08 PM,25.708,,
99,01/24/18 03:07:08 PM,25.805,,
100,01/24/18 03:37:08 PM,25.805,,
101,01/24/18 04:07:08 PM,25.805,,
102,01/24/18 04:37:08 PM,25.805,,
103,01/24/18 05:07:08 PM,25.805,,
104,01/24/18 05:37:08 PM,25.708,,
105,01/24/18 06:07:08 PM,25.610,,
106,01/24/18 06:37:08 PM,25.708,,
107,01/24/18 07:07:08 PM,25.805,,
108,01/24/18 07:37:08 PM,25.708,,
109,01/24/18 08:07:08 PM,25.708,,
110,01/24/18 08:37:08 PM,25.708,,
111,01/24/18 09:07:08 PM,25.708,,
112,01/24/18 09:37:08 PM,25.708,,
113,01/24/18 10:07:08 PM,25.708,,
114,01/24/18 10:37:08 PM,25.708,,
115,01/24/18 11:07:08 PM,25.805,,
116,01/24/18 11:37:08 PM,25.805,,
117,01/25/18 12:07:08 AM,25.805,,
118,01/25/18 12:37:08 AM,25.805,,
119,01/25/18 01:07:08 AM,25.708,,
120,01/25/18 01:37:08 AM,25.708,,
121,01/25/18 02:07:08 AM,25.708,,
122,01/25/18 02:37:08 AM,25.805,,
123,01/25/18 03:07:08 AM,25.805,,
124,01/25/18 03:37:08 AM,25.708,,
125,01/25/18 04:07:08 AM,25.708,,
126,01/25/18 04:37:08 AM,25.805,,
127,01/25/18 05:07:08 AM,25.902,,
128,01/25/18 05:37:08 AM,25.902,,
129,01/25/18 06:07:08 AM,25.805,,
130,01/25/18 06:37:08 AM,25.805,,
131,01/25/18 07:07:08 AM,25.805,,
132,01/25/18 07:37:08 AM,25.805,,
133,01/25/18 08:07:08 AM,25.902,,
134,01/25/18 08:37:08 AM,26.097,,
135,01/25/18 09:07:08 AM,26.292,,
136,01/25/18 09:37:08 AM,26.390,,
137,01/25/18 10:07:08 AM,26.585,,
138,01/25/18 10:37:08 AM,26.781,,
139,01/25/18 11:07:08 AM,26.879,,
140,01/25/18 11:37:08 AM,26.879,,
141,01/25/18 12:07:08 PM,26.390,,
142,01/25/18 12:37:08 PM,25.610,,
143,01/25/18 01:07:08 PM,26.000,,
144,01/25/18 01:37:08 PM,26.195,,
145,01/25/18 02:07:08 PM,26.195,,
146,01/25/18 02:37:08 PM,26.195,,
147,01/25/18 03:07:08 PM,26.292,,
148,01/25/18 03:37:08 PM,26.097,,
149,01/25/18 04:07:08 PM,26.097,,
150,01/25/18 04:37:08 PM,26.097,,
151,01/25/18 05:07:08 PM,26.097,,
152,01/25/18 05:37:08 PM,26.097,,
153,01/25/18 06:07:08 PM,26.000,,
154,01/25/18 06:37:08 PM,25.902,,
155,01/25/18 07:07:08 PM,25.902,,
156,01/25/18 07:37:08 PM,25.805,,
157,01/25/18 08:07:08 PM,25.805,,
158,01/25/18 08:37:08 PM,25.805,,
159,01/25/18 09:07:08 PM,25.805,,
160,01/25/18 09:37:08 PM,25.805,,
161,01/25/18 10:07:08 PM,25.805,,
162,01/25/18 10:37:08 PM,25.708,,
