Serial Number:20294701 --

"Date Time, GMT -0500","Temp, (*F)","Button Down","Button Up","Host Connect","Stopped","EOF"
2018-01-30 12:13:39,74.23, , , , , 
2018-01-30 12:18:39,75.08, , , , , 
2018-01-30 12:23:39,75.47, , , , , 
2018-01-30 12:28:39,74.78, , , , , 
2018-01-30 12:33:39,74.39, , , , , 
2018-01-30 12:38:39,74.08, , , , , 
2018-01-30 12:43:39,74.00, , , , , 
2018-01-30 12:48:39,73.85, , , , , 
2018-01-30 12:53:39,73.77, , , , , 
2018-01-30 12:58:39,73.62, , , , , 
2018-01-30 13:03:39,73.46, , , , , 
2018-01-30 13:08:39,73.23, , , , , 
2018-01-30 13:13:39,73.23, , , , , 
2018-01-30 13:18:39,73.15, , , , , 
2018-01-30 13:23:39,73.23, , , , , 
2018-01-30 13:28:39,73.31, , , , , 
2018-01-30 13:33:39,73.46, , , , , 
2018-01-30 13:38:39,73.46, , , , , 
2018-01-30 13:43:39,73.62, , , , , 
2018-01-30 13:48:39,73.85, , , , , 
2018-01-30 13:53:39,73.93, , , , , 
2018-01-30 13:58:39,74.23, , , , , 
2018-01-30 14:03:39,74.23, , , , , 
2018-01-30 14:08:39,74.39, , , , , 
2018-01-30 14:13:39,74.62, , , , , 
2018-01-30 14:18:39,74.70, , , , , 
2018-01-30 14:23:39,74.78, , , , , 
2018-01-30 14:28:39,74.62, , , , , 
2018-01-30 14:33:39,74.39, , , , , 
2018-01-30 14:38:39,74.31, , , , , 
2018-01-30 14:43:39,74.00, , , , , 
2018-01-30 14:48:39,73.85, , , , , 
2018-01-30 14:53:39,73.69, , , , , 
2018-01-30 14:58:39,73.54, , , , , 
2018-01-30 15:03:39,73.46, , , , , 
2018-01-30 15:08:39,73.39, , , , , 
2018-01-30 15:13:39,73.31, , , , , 
2018-01-30 15:18:39,73.46, , , , , 
2018-01-30 15:23:39,73.69, , , , , 
2018-01-30 15:28:39,73.77, , , , , 
2018-01-30 15:33:39,73.93, , , , , 
2018-01-30 15:38:39,74.16, , , , , 
2018-01-30 15:43:39,74.31, , , , , 
2018-01-30 15:48:39,74.54, , , , , 
2018-01-30 15:53:39,74.54, , , , , 
2018-01-30 15:58:39,74.47, , , , , 
2018-01-30 16:03:39,74.23, , , , , 
2018-01-30 16:08:39,74.00, , , , , 
2018-01-30 16:13:39,73.85, , , , , 
2018-01-30 16:18:39,73.62, , , , , 
2018-01-30 16:23:39,73.46, , , , , 
2018-01-30 16:28:39,73.46, , , , , 
2018-01-30 16:33:39,73.31, , , , , 
2018-01-30 16:38:39,73.39, , , , , 
2018-01-30 16:43:39,73.39, , , , , 
2018-01-30 16:48:39,73.62, , , , , 
2018-01-30 16:53:39,73.85, , , , , 
2018-01-30 16:58:39,74.08, , , , , 
2018-01-30 17:03:39,74.31, , , , , 
2018-01-30 17:08:39,74.31, , , , , 
2018-01-30 17:13:39,77.17, , , , , 
2018-01-30 17:18:39,85.82, , , , , 
2018-01-30 17:23:39,87.83, , , , , 
2018-01-30 17:28:39,87.83, , , , , 
2018-01-30 17:33:39,87.67, , , , , 
2018-01-30 17:38:39,87.98, , , , , 
2018-01-30 17:43:39,87.59, , , , , 
2018-01-30 17:48:39,88.06, , , , , 
2018-01-30 17:53:39,87.59, , , , , 
2018-01-30 17:58:39,87.98, , , , , 
2018-01-30 18:03:39,87.90, , , , , 
2018-01-30 18:08:39,87.52, , , , , 
2018-01-30 18:13:39,88.06, , , , , 
2018-01-30 18:18:39,87.75, , , , , 
2018-01-30 18:23:39,87.75, , , , , 
2018-01-30 18:28:39,87.90, , , , , 
2018-01-30 18:33:39,87.44, , , , , 
2018-01-30 18:38:39,87.98, , , , , 
2018-01-30 18:43:39,87.75, , , , , 
2018-01-30 18:48:39,87.59, , , , , 
2018-01-30 18:53:39,88.06, , , , , 
2018-01-30 18:58:39,87.59, , , , , 
2018-01-30 19:03:39,88.13, , , , , 
2018-01-30 19:08:39,87.75, , , , , 
2018-01-30 19:13:39,87.67, , , , , 
2018-01-30 19:18:39,87.98, , , , , 
2018-01-30 19:23:39,87.44, , , , , 
2018-01-30 19:28:39,87.90, , , , , 
2018-01-30 19:33:39,87.67, , , , , 
2018-01-30 19:38:39,87.52, , , , , 
2018-01-30 19:43:39,87.90, , , , , 
2018-01-30 19:48:39,87.44, , , , , 
2018-01-30 19:53:39,87.44, , , , , 
2018-01-30 19:58:39,87.67, , , , , 
2018-01-30 20:03:39,87.21, , , , , 
